repo	sha	reason	duplicateOf
YVTomov22/mrezhen..	2287e835193738cc48914344b3a7f81f1a80317d	identical-sha	YVTomov22/Mrezhen
dncar13/marketing	333e6e7d491216b28b3880e5ab4b449577ba93e4	identical-sha	engelmarkde/social_media
altafpasha/postiz	333e6e7d491216b28b3880e5ab4b449577ba93e4	identical-sha	engelmarkde/social_media
imanElomari/postiz-brands	333e6e7d491216b28b3880e5ab4b449577ba93e4	identical-sha	engelmarkde/social_media
imanElomari/media-admin	333e6e7d491216b28b3880e5ab4b449577ba93e4	identical-sha	engelmarkde/social_media
migueljnew-droid/biopoint	1c8019aad5b6efca5bf6429f6d57b291c6c61d3b	prisma-rejected	
KRYZENSYS/00o-platform	fa64755fe7ec5bba9dd75b8a32a345daa38bbe9d	prisma-rejected	
Tarkin888/ai-governance-studio	ade33e23bad90bbf92b080549b1c1fbe33c55caf	prisma-rejected	
mutheejj/vote	1c12c8862f391d74f54e158b1928a63fdc774ca4	prisma-rejected	
kennethma08/movensa-gestion	f88a72a106fd8f39c097661c8d0c69f62be60c8e	identical-sha	orekoapp/oreko
ShakyaAbi/Merlin-GarmentFac	313185b7bc3a7826032731a81440d972e7b4c191	prisma-rejected	
Marres-bit/AutoGPT-practice	2f6c109c0362b6bbfb3ecf7356b585283ece0138	prisma-rejected	
Brodie-Eaze/eazepay-intelligence	e2b3efae4cb53c1a65f758ea6cb9eaa8dc481755	prisma-rejected	
YasminIlagan/Applicant--ATS--AIMI	d455b75e6af2444defa9de5d69ce5966699be6ff	identical-sha	YasminIlagan/ATS--Applicant-Dashboard--AIMI
carlhuan/integration-test	2f6c109c0362b6bbfb3ecf7356b585283ece0138	prisma-rejected	
skygenesisenterprise/astron-collection	4b1f0fbfee0f315a4b59466b510d925c5c39af1c	identical-sha	skygenesisenterprise/vaelixbank
ShadCanard/SunsetRP	89d0e3348557bdf73de6ee626a0c0939b218eb1d	prisma-rejected	
code-review-benchmark/cal_dot_com__cal.com__claude-code__PR22532__20260310	b4c1698dff5af65fe7eb587c6ebd0713e236050e	prisma-rejected	
code-review-benchmark/cal_dot_com__cal.com__bito__PR22532__20260310	b4c1698dff5af65fe7eb587c6ebd0713e236050e	prisma-rejected	
ConanZHZH/cal_dot_com__cal.com__cubic-v2__PR22532__20260313	b4c1698dff5af65fe7eb587c6ebd0713e236050e	prisma-rejected	
code-review-benchmark/cal_dot_com__cal.com__cubic-v2__PR22532__20260313	b4c1698dff5af65fe7eb587c6ebd0713e236050e	prisma-rejected	
BrekfuzOrg/cal_dot_com__cal.com__brekfuz__PR22532__20260822	b4c1698dff5af65fe7eb587c6ebd0713e236050e	prisma-rejected	
shivajid/gke-vibebench	34686148ce0bfc5e401237b61a6b8e05f96e6d08	identical-sha	ViBench/vibench-public
kreativae/SistemaCampoFlow	6d778ff0d4ea6f2338f8fc05c2b2320491fbeb7f	identical-sha	kreativae/CampoFlow
peesaeung/express-node	f25489285e3ed50124357c0bc5edc058d36d9dbb	identical-sha	peesaeung/socketio-nextjs
vladpm/dpp-recovered	1dfc943e86fb45c594a5f98ed4a3f54db041d453	identical-sha	Azure-Samples/Digital-Permit-Platform
raul2105/WMS-Mangueras-y-conexiones	1525fd1e1f8b6139b1a079ec14b97b2a1b2edcee	prisma-rejected	
xarlytos/silxarcrm	40f9635b5961c34ddc7202deb12bc96fa1ea1422	prisma-rejected	
walaeddine-riahi/survive.admin	e3cc4157b7238748e31cf0f3aac2b3c6d0c5ef01	prisma-rejected	
